"Complete Payment","إتمام الدفع",""
"Exact amount only","الدفع بالمبلغ المحدد فقط",""
"optional","اختياري",""
"Payment Method","طريقة الدفع",""
"Refund Amount","المبلغ المسترد",""
"Enter amount...","أدخل المبلغ...",""
"Total Amount","إجمالي المبلغ",""
"Remaining","المتبقي",""
"Change Due","الباقي",""
"On Account","بالآجل",""
"Paid in Full","خالص / مدفوع بالكامل",""
"Fully Paid","مدفوع بالكامل",""
"Paid Amount","المبلغ المدفوع",""
"Paid: {0}","المدفوع: {0}",""
"Customer Credit Available","رصيد العميل المتاح",""
"Outstanding Balance","مديونية العميل",""
"Credit can be applied to invoice","يمكن استخدام الرصيد لسداد الفاتورة",""
"Amount owed by customer","المبلغ المستحق على العميل",""
"No outstanding balance","لا توجد مديونية",""
"Save","حفظ",""
"Cancel","إلغاء",""
"Submit","تأكيد",""
"Delete","حذف",""
"Edit","تعديل",""
"Search","بحث",""
"Close","إغلاق",""
"Confirm","تأكيد",""
"Yes","نعم",""
"No","لا",""
"Loading...","جاري التحميل...",""
"Error","خطأ",""
"Success","تم بنجاح",""
"Warning","تنبيه",""
"Information","معلومات",""
"Add Item","إضافة صنف",""
"Select Customer","اختر العميل",""
"Create Customer","عميل جديد",""
"Discount","خصم",""
"Tax","ضريبة",""
"Total","الإجمالي",""
"Checkout","الدفع وإنهاء الطلب",""
"Clear Cart","إفراغ السلة",""
"Hold Invoice","تعليق الفاتورة",""
"Print Receipt","طباعة الإيصال",""
"No stock available","الكمية نفدت",""
"Item added to cart","تمت الإضافة للسلة",""
"Item removed from cart","تم الحذف من السلة",""
"Open Shift","فتح وردية",""
"Close Shift","إغلاق الوردية",""
"Shift Opening","بداية الوردية",""
"Shift Closing","نهاية الوردية",""
"Opening Amount","عهدة الفتح",""
"Closing Amount","نقدية الإغلاق",""
"Cash in Hand","النقدية بالدرج",""
"Expected Amount","المبلغ المتوقع",""
"Difference","العجز / الزيادة",""
"Draft Invoices","مسودات",""
"Invoice History","سجل الفواتير",""
"Offline Invoices","فواتير غير مرحلة",""
"Return Invoice","مرتجع فاتورة",""
"Invoice Number","رقم الفاتورة",""
"Date","التاريخ",""
"Customer","العميل",""
"Amount","المبلغ",""
"Status","الحالة",""
"Paid","مدفوع",""
"Unpaid","غير مدفوع",""
"Partially Paid","مدفوع جزئياً",""
"Credit Note Issued","إشعار دائن",""
"Cancelled","ملغي",""
"Draft","مسودة",""
"Settings","الإعدادات",""
"General","عام",""
"Appearance","المظهر",""
"Language","اللغة",""
"Select Language","اختر اللغة",""
"Theme","السمة",""
"Notifications","الإشعارات",""
"Receipt Settings","إعدادات الإيصال",""
"Hardware","الأجهزة",""
"POS Profile","ملف نقطة البيع",""
"Network connection error","لا يوجد اتصال بالشبكة",""
"Session expired, please login again","انتهت الجلسة، يرجى الدخول مجدداً",""
"Insufficient stock for {0}","رصيد الصنف {0} غير كافٍ",""
"Invalid quantity","الكمية غير صحيحة",""
"Please select a customer","يرجى اختيار العميل أولاً",""
"Payment processing failed","فشلت عملية الدفع",""
"An unexpected error occurred","حدث خطأ غير متوقع",""
"This field is required","هذا الحقل مطلوب",""
"Minimum length is {0} characters","الحد الأدنى {0} حروف",""
"Maximum length is {0} characters","الحد الأقصى {0} حروف",""
"Please enter a valid email address","البريد الإلكتروني غير صحيح",""
"Please enter a valid phone number","رقم الهاتف غير صحيح",""
"Please enter a valid number","يرجى إدخال رقم صحيح",""
"Value must be positive","القيمة يجب أن تكون موجبة",""
"Customer Credit","رصيد العميل",""
"Available Credit","الرصيد المتاح",""
"Payment Methods","طرق الدفع",""
"Cash","نقدي",""
"Card","بطاقة بنكية",""
"Wallet","محفظة إلكترونية",""
"Bank Transfer","تحويل بنكي",""
"Item","الصنف",""
"Items","الأصناف",""
"1 item","صنف واحد",""
"{0} items","{0} أصناف",""
"Invoice Summary","ملخص الفاتورة",""
"Quantity","الكمية",""
"Price","السعر",""
"Subtotal","المجموع الفرعي",""
"Grand Total","الإجمالي الكلي",""
"Custom Amount","مبلغ مخصص",""
"Enter amount","أدخل المبلغ",""
"Apply","تطبيق",""
"Apply Coupon","تطبيق الكوبون",""
"Coupon Code","كود الخصم",""
"Remove","حذف",""
"Add","إضافة",""
"Update","تحديث",""
"Refresh","تنشيط",""
"Reload","إعادة تحميل",""
"Print","طباعة",""
"Download","تنزيل",""
"Upload","رفع",""
"Import","رفع ملف",""
"Export","تحميل ملف",""
"Filter","تصفية",""
"Sort","ترتيب",""
"Ascending","تصاعدي",""
"Descending","تنازلي",""
"All","الكل",""
"None","لا شيء",""
"Select All","تحديد الكل",""
"Deselect All","إلغاء التحديد",""
"Name","الاسم",""
"Email","البريد الإلكتروني",""
"Phone","الهاتف",""
"Address","العنوان",""
"City","المدينة",""
"State","المحافظة",""
"Country","الدولة",""
"Postal Code","الرمز البريدي",""
"Notes","ملاحظات",""
"Description","الوصف",""
"Category","القسم",""
"Type","النوع",""
"Unit","الوحدة",""
"Stock","الرصيد المخزني",""
"Available","متاح",""
"Out of Stock","نفدت الكمية",""
"Low Stock","رصيد منخفض",""
"In Stock","متوفر",""
"Barcode","باركود",""
"SKU","كود الصنف (SKU)",""
"Image","صورة",""
"Gallery","الصور",""
"Product","منتج",""
"Products","منتجات",""
"Service","خدمة",""
"Services","الخدمات",""
"Order","طلب",""
"Orders","الطلبات",""
"Invoice","فاتورة",""
"Invoices","الفواتير",""
"Payment","دفعة",""
"Payments","المدفوعات",""
