"Complete Payment","Selesaikan Pembayaran",""
"optional","Opsional",""
"Payment Method","Metode Pembayaran",""
"Refund Amount","Pengembalian Dana",""
"Enter amount...","Input Jumlah",""
"Total Amount","Jumlah Total",""
"Remaining","Sisa Pembayaran/Tagihan",""
"Change Due","Sisa/Kembalian",""
"On Account","Pembayaran Tertunda",""
"Paid in Full","Dibayar Penuh",""
"Fully Paid","Dibayar Penuh",""
"Paid Amount","Jumlah Yang Dibayar",""
"Paid: {0}","Dibayar: {0}",""
"Customer Credit Available","Saldo/kredit Pelanggan Yang Tersedia",""
"Outstanding Balance","Saldo Terutang / Utang Pelanggan",""
"Credit can be applied to invoice","Saldo/kredit tersebut dapat digunakan untuk membayar tagihan.",""
"Amount owed by customer","Jumlah yang harus dibayar oleh pelanggan",""
"No outstanding balance","Tidak ada hutang",""
"Save","Simpan",""
"Cancel","Batal",""
"Submit","Kirim",""
"Delete","Hapus",""
"Edit","Sunting",""
"Search","Pencarian",""
"Close","Tutup",""
"Confirm","Konfirmasi",""
"Yes","Ya",""
"No","Tidak",""
"Loading...","Memuat...",""
"Error","Terjadi Kesalahan",""
"Success","Sukses",""
"Warning","Peringatan",""
"Information","Informasi",""
"Add Item","Tambah Item",""
"Select Customer","Pilih Pelanggan",""
"Create Customer","Buat Pelanggan Baru",""
"Discount","Diskon",""
"Tax","pajak",""
"Total","Total",""
"Checkout","Bayar & Selesaikan Pesanan",""
"Clear Cart","Reset Keranjang",""
"Hold Invoice","Simpan/Tangguhkan Faktur",""
"Print Receipt","Cetak Struk",""
"No stock available","Stok tidak tersedia",""
"Item added to cart","Ditambahkan ke keranjang",""
"Item removed from cart","Dihapus dari keranjang",""
"Open Shift","Buka Shift",""
"Close Shift","Tutup Shift",""
"Shift Opening","Pembukaan Shift",""
"Shift Closing","Penutupan Shift",""
"Opening Amount","Jumlah Pembukaan Shift",""
"Closing Amount","Jumlah Penutupan Shift",""
"Cash in Hand","Uang Tunai",""
"Expected Amount","Jumlah yang Diharapkan",""
"Difference","Defisit/Surplus",""
"Draft Invoices","Draf Penagihan",""
"Invoice History","Riwayat Penagihan",""
"Offline Invoices","Faktur yang Belum Dibayar",""
"Return Invoice","Faktur Pengembalian",""
"Invoice Number","Nomor Faktur",""
"Date","tanggal",""
"Customer","Pelanggan",""
"Amount","Jumlah",""
"Paid","Dibayar",""
"Unpaid","Belum Dibayar",""
"Partially Paid","Dibayar Sebagianً",""
"Credit Note Issued","Nota Kredit",""
"Cancelled","Dibatalkan",""
"Draft","Draf",""
"Settings","Pengaturan",""
"General","Umum",""
