"Complete Payment","Concluir Pagamento",""
"optional","opcional",""
"Payment Method","Método de Pagamento",""
"Refund Amount","Valor do Reembolso",""
"Enter amount...","Digite o valor...",""
"Total Amount","Valor Total",""
"Remaining","Pendente",""
"Change","Troco",""
"Paid in Full","Pago Integralmente",""
"Paid Amount","Valor Pago",""
"Paid: {0}","Pago: {0}",""
"Customer Credit Available","Crédito do Cliente Disponível",""
"Customer Outstanding Balance","Saldo Devedor do Cliente",""
"Credit can be applied to invoice","O Crédito pode ser aplicado na fatura",""
"Amount owed by customer","Valor devido pelo cliente",""
"No outstanding balance","Sem saldo devedor",""
"Save","Salvar",""
"Cancel","Cancelar",""
"Submit","Enviar",""
"Delete","Excluir",""
"Edit","Editar",""
"Search","Buscar",""
"Close","Fechar",""
"Confirm","Confirmar",""
"Yes","Sim",""
"No","Não",""
"Loading...","Carregando...",""
"Error","Erro",""
"Success","Sucesso",""
"Warning","Aviso",""
"Information","Informação",""
"Add Item","Adicionar Item",""
"Select Customer","Selecionar Cliente",""
"Create Customer","Cadastrar Cliente",""
"Discount","Desconto",""
"Tax","Imposto",""
"Total","Total",""
"Checkout","Finalizar Venda",""
"Clear Cart","Limpar Carrinho",""
"Hold Invoice","Suspender Fatura",""
"Print Receipt","Imprimir Comprovante",""
"No stock available","Sem estoque disponível",""
"Item added to cart","Item adicionado ao carrinho",""
"Item removed from cart","Item removido do carrinho",""
"Open Shift","Abrir Turno",""
"Close Shift","Fechar Turno",""
"Shift Opening","Abertura do Turno",""
"Shift Closing","Fechamento do Turno",""
"Opening Amount","Valor de Abertura",""
"Closing Amount","Valor de Fechamento",""
"Cash in Hand","Dinheiro em Caixa",""
"Expected Amount","Valor Esperado",""
"Difference","Diferença",""
"Draft Invoices","Faturas Rascunho",""
"Invoice History","Histórico de Faturas",""
"Offline Invoices","Faturas Offline",""
"Return Invoice","Fatura de Devolução",""
"Invoice Number","Número da Fatura",""
"Date","Data",""
"Customer","Cliente",""
"Amount","Valor",""
"Status","Status",""
"Paid","Pago",""
"Unpaid","Não Pago",""
"Partially Paid","Parcialmente Pago",""
"Credit Note Issued","Nota de Crédito Emitida",""
"Cancelled","Cancelada",""
"Draft","Rascunho",""
"Settings","Configurações",""
"General","Geral",""
"Appearance","Aparência",""
"Language","Idioma",""
"Select Language","Selecionar Idioma",""
"Theme","Tema",""
"Notifications","Notificações",""
"Receipt Settings","Configurações de Comprovante",""
"Hardware","Hardware",""
"POS Profile","Perfil do PDV",""
"Network connection error","Erro de conexão de rede",""
"Session expired, please login again","Sessão expirada, faça login novamente",""
"Insufficient stock for {0}","Estoque insuficiente para {0}",""
"Invalid quantity","Quantidade inválida",""
"Please select a customer","Por favor, selecione um cliente",""
"Payment processing failed","Falha no processamento do pagamento",""
"An unexpected error occurred","Ocorreu um erro inesperado",""
"This field is required","Este campo é obrigatório",""
"Minimum length is {0} characters","O tamanho mínimo é de {0} caracteres",""
